CATEGORÍA,CANCIÓN,ARTISTAS,HOMBRE / MUJER / DUO / GRUPO,AÑO DE LANZAMIENTO,OBSERVACIONES
"TENDENCIAS ",AMOR A PRIMERA VISTA (FT BELINDA & LALO EBRATT,LOS ANGELES AZULES/BELINDA,,0,
"TENDENCIAS ",ALV ,GRUPO FRONTERA FT ARCANGEL ,,0,
"TENDENCIAS ",Adicta Al Dolor,Marbelle,,0,
"TENDENCIAS ",A VECES A BESOS ,GREICY RENDON ,,0,
"TENDENCIAS ",¿QUÉ TE PASÓ?,GREEICY FT JAY WHEELER,,0,
"POP DOWN ","EN OTRA VIDA ",YAMITH FT LASSO,,0,
"POP DOWN ","ODIARME ","YAMITH SAFDIE ",,0,
"POP DOWN ","LLEGASTE TU ",MARTINA LA PELIGROS Y ADRIANA LUCIA,,0,
"POP DOWN ","EN OTRA VIDA ",YAMITH FT LASSO,,0,
"POP DOWN ","QUERIDA YO ",YAMITH FT CAMILO,,0,
"POP DOWN ",Yo No Me Doy Por Vencido,Luis Fonsi,,0,
"POP DOWN ",Y QUIEN TE DIJO,ALEJANDRO LERNER,,0,
"POP DOWN ",TU POR MI,CRISTINA Y LOS SUBTERRANEOS,,0,
"POP DOWN ","Tu Fan ","Mafalda Cardenal ",,0,
"POP DOWN ","Tu ",Kudai,,0,
"POP DOWN ",TODA LA VIDA ,JULIANA,,0,
"POP DOWN ",Te Doy Las Gracias,Santiago Cruz,,0,
"POP DOWN ",Sigo Con Ella,Obbie Bermudez,,0,
"POP DOWN ",SI BASTACEN UN PAR DE CANCIONES,EROS RAMAZZOTTI,,0,
"POP DOWN ",Respirar,Jesse Y Joy,,0,
"POP DOWN ",RECUERDAME (Carlos Rivera),CARLOS RIVERA,,0,
"POP DOWN ",Quizas Debió Llover Un Poco Mas,Siam,,0,
"POP DOWN ","Querido Tomy ","Tommy Torres ",,0,
"POP DOWN ",Quédate Aquí,Siam,,0,
"POP DOWN ","Que Vuleva ","Kanny Garcia, Carla Morrison ",,0,
"POP DOWN ","Que Dices ","Siam ",,0,
"POP DOWN ",Primera Vez,Ricardo Arjona,,0,
"POP DOWN ",Porque Es Tan Cruel El Amor,Ricardo Arjona,,0,
"POP DOWN ",POR TI,ELLABAILA SOLA,,0,
"POP DOWN ",Pinguinos En La Cama,Ricardo Arjona,,0,
"POP DOWN ",PERO ME ACUERDO DE TI,CRISTINA AGUILERA,,0,
"POP DOWN ","Patadas De Ahogado ","Humbe, Latin Mafia ",,0,
"POP DOWN ",Para Que,Ela Taubert,,0,
"POP DOWN ",Otra Vez Me Ha Sacado A Bailar,"La Oreja De Van Gogh, Amaia Montero",,0,
"POP DOWN ",OJOS NOCHE,ELSA Y EL MAR ,,0,
"POP DOWN ",No Te Necesito - Nunca Fue Necesidad,Santiago Cruz,,0,
"POP DOWN ",NO ES CASUAL,ANDRES CEPEDA,,0,
"POP DOWN ",NASA (FT SANZ),CAMILO/ALEJANDRO SANZ,,0,
"POP DOWN ",Mil Pedazos,Cristina Y Los Subterraneos,,0,
"POP DOWN ",MIL PEDAZOS,CRISTINA Y LOS SUBTERRANEOS,,0,
"POP DOWN ",MIERDA ,ELSA Y EL MAR ,,0,
"POP DOWN ",MI VERDAD,EX3,,0,
"POP DOWN ",MEJOR SIN TI,ELLABAILA SOLA,,0,
"POP DOWN ",LOCO (E. Iglesias ft India Martinez),ENRIQUE IGLESIAS/INDIA MARTINEZ,,0,
"POP DOWN ",Lo que nos falto decir,Jesse Y Joy,,0,
"POP DOWN ",Lo Poco Que Tengo,Ricardo Arjona,,0,
"POP DOWN ",LO MISMO QUE YO,BACILOS/JORGE VILLAMIZAR,,0,
"POP DOWN ",LO ECHAMOS A SUERTE,ELLABAILA SOLA,,0,
"POP DOWN ",Llorar,"Jesse Y Joy, Camila, Mario Domm",,0,
"POP DOWN ",LEJOS DE LA CIUDAD ,DANIELA SPALLA FT CAMILO ,,0,
"POP DOWN ",Lejos De Ti,Gloria Estefan,,0,
"POP DOWN ",LA FORTUNA (CON TOMMY TORRES),DIANA FUENTES,,0,
"POP DOWN ",INFINITO (FEAT JESSE Y JOY),ANDRES CEPEDA/JESSE Y JOY,,0,
"POP DOWN ",Horarios Extendidos,Maca Y Gero,,0,
"POP DOWN ",Historia De Un Taxi,Ricardo Arjona,,0,
"POP DOWN ",HASTA EL TECHO,CHOBQUIBTOWN,,0,
"POP DOWN ",Este Cuento,Manuel Medrano,,0,
"POP DOWN ","El Que Se Quede ","Juan Pablo Vega ",,0,
"POP DOWN ","El Gran Teatro ","Santiago Cruz, Andres Cepeda ",,0,
"POP DOWN ",Dueles,Jesse Y Joy,,0,
"POP DOWN ",Diez mil Batallas,Santiago Cruz,,0,
"POP DOWN ","Diamentes Y Amaranto ","Camila ",,0,
"POP DOWN ",DESDE EL DIA EN QUE TE FUISTE,CHOBQUIBTOWN,,0,
"POP DOWN ",Cuarto Menguante,Siam,,0,
"POP DOWN ",CUANDO TE ENCUENTRE ,JULIANA ,,0,
"POP DOWN ","Cuando Te Encuentre ","Juliana ",,0,
"POP DOWN ",CUANDO LOS SAPOS BAILEN FLAMENCO,ELLABAILA SOLA,,0,
"POP DOWN ","Con Lujo De Detalles ","Siam ",,0,
"POP DOWN ",Antes de los treinta,Morat,,0,
"POP DOWN ",ÁNGEL ,BELINDA,,0,
"POP DOWN ",Angeles,"Robbie Williams ",,0,
"POP DOWN ",AMORES DE BARRA,ELLABAILA SOLA,,0,
"POP DOWN ",Amor Del Bueno,Reily Barba,,0,
"POP DOWN ",ALGUIEN QUE CUIDE DE MI,CRISTINA Y LOS SUBTERRANEOS,,0,
"POP DOWN ",Alguien Más,Jesse Y Joy,,0,
"POP DOWN ",ABRAZAME ,ANGELA AGUILAR FT FELIPE BOTELLO ,,0,
"POP DOWN ",6Am,Santiago Cruz,,0,
"ROCK UP ",YA NADA ES ,SILVIA O FT JUANES ,,0,
"ROCK UP ",TE LLEVO PARA QUE ME LLEVES,GUSTAVO CERATTI,,0,
"ROCK UP ",RELIGIONES,LA DERECHA,,0,
"ROCK UP ",QUE TRISTEZA NI QUE OCHO CUARTOS,DR. KRAPULA,,0,
"ROCK UP ",PASEO INMORAL ,GUSTAVO CERATTI ,,0,
"ROCK UP ",NO VOY EN TREN,CHARLIE GARCIA,,0,
"ROCK UP ",ME BEBI TU RECUERDO ,DR. KRAPULA,,0,
"ROCK UP ",LOS MAL AVENTURADOS NO LLORAN ,PANDA ,,0,
"ROCK UP ",LAS FLORES,CAFE TACUBA,,0,
"ROCK UP ",Las Batallas,Café Tacyba,,0,
"ROCK UP ",LA INGRATA,CAFE TACUBA,,0,
"ROCK UP ",LA FUERZA DEL AMOR ,DR KRAPULA ,,0,
"ROCK UP ",La Cupula,Soda Stereo,,0,
"ROCK UP ",GITANA (FABULOSOS),LOS FABULOSOS CADILLACS,,0,
"ROCK UP ",El Pobre,Bajotierra,,0,
"ROCK UP ",EL CICLON ,CAFE TACUBA,,0,
"ROCK UP ",El Baile Y El Salon,Cafe Tacuba,,0,
"ROCK UP ",Cosas Imposibles,"Gustavo Ceratti, Soda Stereo",,0,
"ROCK UP ",COMO TE EXTRANO MI AMOR (V. ORIGINAL CAFETA),CAFE TACUBA,,0,
"ROCK UP ",ADICTO AL DOLOR ,DON TETO ,,0,
"ROCK UP ",24 HORAS,CAFE TACUBA,,0,
"BALADA ",VIVO POR ELLA,ANDREA BOCCELI/MARTHA SANCHEZ,,0,
"BALADA ",TE HE PROMETIDO (V. LEO DAN & MONTANER),LEO DAN/RICARDO MONTANER,,0,
"BALADA ",TE VEO VENIR SOLEDAD (Version con Gilberto San,FRANCO DE VITA/GILBERTO SANTA ROSA,,0,
"BALADA ",TE AMO (EN ESPAÑOL),UMBERTO TOZZI,,0,
"BALADA ",TE AMARE,MIGUEL BOSE/VERSIÓN MTV UNPLUGGED,,0,
"BALADA ",SOMOS NOVIOS (V. LUIS MIGUEL),LUIS MIGUEL,,0,
"BALADA ",SOMOS NOVIOS (V. MANZANERO & LOLITA),ARMANDO MANZANERO/LOLITA,,0,
"BALADA ",POR QUÉ SERÁ,RUDY LAESCALA,,0,
"BALADA ",QUE HARE SIN TI,PROYECTO M,,0,
"BALADA ",PARA QUE,ANA Y JAIME,,0,
"BALADA ",NO SE TU (FT FRANCISCO CESPEDES),ARMANDO MANZANERO/FRANCISCO CESPEDES,,0,
"BALADA ",NO LO HABIA PENSADO ,FRANCO DEVITA ,,0,
"BALADA ",NADIE COMO TU (FRANCISCO CESPEDES),PRESUNTOS IMPLICADOS/FRANCISCO CESPEDES,,0,
"BALADA ","Nada Sin Ti ","Eros Ramazoti ",,0,
"BALADA ",NADA SIN TI ,EROS RAMAZOTI ,,0,
"BALADA ",INOLVIDABLE (LUIS MIGUEL),LUIS MIGUEL,,0,
"BALADA ","Eclipse Total Del Amor ","Yuridia, Patricio Borghetti",,0,
"BALADA ",Culpable O No (Mienteme Como Siempre),Luis Miguel,,0,
"BALADA ",CUANDO ACABA EL PLACER,SOPRA CONTRARIAR,,0,
"BALADA ",CULPABLE O NO - MIÉNTEME COMO SIEMPRE,LUIS MIGUEL,,0,
"BALADA ",COMPLETAMENTE ENAMORADOS (V. CHAYANNE),CHAYANNE,,0,
"BALADA ",AY MUJER (BALADA),JUAN LUIS GUERRA,,0,
"BALADA ",AY DIOS (Version con Diego el Cigala),FRANCO DE VITA/EL CIGALA,,0,
"POP UP ","MAÑANA ES TU LEY ","JESSY JOY FT J BALVIN ",,0,
"POP UP ","LA ALEGRIA DE MI VIDA ","RIO ROMA ",,0,
"POP UP ","PA QUE VOLVISTE ","ELENA ROSE FT MARIE BECERRA ",,0,
"POP UP ","DIAMANTE ",TIMO FT CARDELLIN,,0,
"POP UP ","A DONDE VA EL VIENTO ","JULIETA VENEGAS ",,0,
"POP UP ","Ya Te Perdoné ","Ventino ",,0,
"POP UP ",YO QUIERO RESPIRAR,DANIH,,0,
"POP UP ","PELI ROJA ","SEBASTIAN YATRA ",,0,
"POP UP ","UN BESO MENOS ","ELENA ROSE FT MORAT ",,0,
"POP UP ",VOLVERTE A VER (MONSIEUR P),MONSIEUR PERINE,,0,
"POP UP ",VOY EN UN COCHE,CRISTINA Y LOS SUBTERRANEOS,,0,
"POP UP ",USTED,DIEGO TORRES/VICENTICO,,0,
"POP UP ",VEN CONMIGO,CRISTINA AGUILERA,,0,
"POP UP ",UNA BRASILERA,LOS PARALAMAS,,0,
"POP UP ",TU CORAZON (Sanz y Lena),ALEJANDRO SANZ/LENA,,0,
"POP UP ",TODO LO QUE YO ,JUAN GABRIEL TURBAY ,,0,
"POP UP ",Traicion A La Mexicana,Zimbawe,,0,
"POP UP ","The Heaven ","Juliana Velazquez ",,0,
"POP UP ",TEQUILA (FT. NODAL),JUANES/NODAL,,0,
"POP UP ",TE LO AGRADEZCO ,KANNY GARCIA FT CARIN LEON ,,0,
"POP UP ",Superpoder,TIMO,,0,
"POP UP ",SUEÑOS,DIEGO TORRES/JULIETA VENEGAS,,0,
"POP UP ",SHAPE OF YOU,LATIN REMIX,,0,
"POP UP ",SENTIMETAL ,MODERATTO,,0,
"POP UP ",QUE TE VAYA MAL ,KANNY GARCIA ,,0,
"POP UP ",PERFECTA,MIRANDA/JULIETA VENEGAS,,0,
"POP UP ",Plan Perfecto,Siam,,0,
"POP UP ",Ojos Verdes,Nicky Nicole,,0,
"POP UP ",NO PUEDO OLVIDARTE,MDO,,0,
"POP UP ","Nada Nos Puede Pasar ","Verano Del 98 ",,0,
"POP UP ",NENA (con Paulina),MIGUEL BOSE/PAULINA RUBIO,,0,
"POP UP ",NADA FUE UN ERROR (FT JULIETA Y PAULINA),COTI,,0,
"POP UP ",MIEL ,MANUEL MEDRANO ,,0,
"POP UP ",MI PERSONA FAVORITA (SANZ & CABELLO),ALEJANDRO SANZ/CAMILA CABELLO,,0,
"POP UP ",MI AMIGO EN EL BAÑO,KANY GARCIA,,0,
"POP UP ",MÁS BUENA (FT ALEJANDRA GUZMAN),GLORIA TREVI/ALEJANDRA GUZMAN,,0,
"POP UP ",MAÑANA ES TO LATE ,JESSY & JOY FT J BALVIN ,,0,
"POP UP ",MAGIA (CEPEDA Y YATRA),ANDRES CEPEDA/SEBASTIAN YATRA,,0,
"POP UP ",LA JAULA DE ORO (Juanes & Los Tigres del Norte,JUANES/LOS TIGRES DEL NORTE,,0,
"POP UP ",La Cuenta,Siam,,0,
"POP UP ",LA FLACA (Juanes y Santana),JUANES/JARABE DE PALO,,0,
"POP UP ",Hoy,"Rosana, Chobquibtown",,0,
"POP UP ",Golpes En El Corazón,"Paulina Rubio, Los Tigres Del Norte",,0,
"POP UP ",GENIO ATRAPADO,CRISTINA AGUILERA,,0,
"POP UP ",FUERA DE SERVICIO ,KANNY GARCIA ,,0,
"POP UP ",GEOGRAFIA,LA OREJA DE VANGOGH,,0,
"POP UP ",GALA Y DALI ,JUANES FT NELLY FURTADO ,,0,
"POP UP ",FALSAS ESPERANZAS,CRISTINA AGUILERA,,0,
"POP UP ","Espacio Sideral ","Jesse Y Joy ",,0,
"POP UP ",En El Dos Mil,Natalia Lafourcade,,0,
"POP UP ","En Esta Boca ","Kanny Garcia, Young Miko ",,0,
"POP UP ",El Perdon,"Enrique Iglesias, Nicky Jam",,0,
"POP UP ",EFIMERO ,GREEICY RENDON ,,0,
"POP UP ",Duelo,"Nampa Basico, Kany Garcia",,0,
"POP UP ",Duele Verte,Ricardo Arjona,,0,
"POP UP ","Dimelo ","Enrrique Iglesias ",,0,
"POP UP ","De Adentro Pa Fura ","Juanes ",,0,
"POP UP ",CUIDATE,LA OREJA DE VANGOGH,,0,
"POP UP ",Como Olvidarte,Ricardo Arjona,,0,
"POP UP ",CIELO (FT NILE RODGERS),MANUEL MEDRANO/NILE RODGERS,,0,
"POP UP ",CHOCOLATE ,JESSY & JOY,,0,
"POP UP ",BUSCANDO EL PARAISO,ALEJANDRO SANZ/ALICIA KEYS,,0,
"POP UP ",BONITA (Juanes y Yatra),JUANES/SEBASTIAN YATRA,,0,
"POP UP ",BAILAR CONTIGO (MP),MONSIEUR PERINE,,0,
"POP UP ",Aunque Me Mientas,"Alejandra Guzman, Dani Martin",,0,
"POP UP ",AMARTE BIEN (Version Original),CARLOS BAUTE,,0,
SALSA,VIRGEN ,ADOLECENTES ORQUESTA,,0,
SALSA,TU CON ÉL ,FRANKE RUIZ ,,0,
SALSA,TU (VERSIÓN MERENGUE),JUAN LUIS GUERRA,,0,
SALSA,Si supieras,Maelo Ruiz,,0,
SALSA,Por Que Les Mientes,"Marc Anthony, Tito El Bambino",,0,
SALSA,OJALA QUE LLUEVA CAFE EN EL CAMPO,JUAN LUIS GUERRA,,0,
SALSA,Nuestro Amor,Raphsodia,,0,
SALSA,LA LLAVE DE MI CORAZON (ESTUDIO),JUAN LUIS GUERRA,,0,
SALSA,LO GRANDE QUE ES PERDONAR (VIVO CON VICO C),GILBERTO SANTA ROSA/VICO C,,0,
SALSA,Isla Para Dos,Nano Cabrera,,0,
SALSA,DE VUELTA PA LA VUELTA (FT MARC ANTHONY),DADDY YANKEE/MARC ANTHONY,,0,
SALSA,Mi Amor Amor,Ray Sepúlveda,,0,
SALSA,A Donde Iras,Puerto Rican Power,,0,
"CATERGORIA INDETERMINADA ",TAN SOLO PALABRAS ,MARC ANTONY ,,0,
"CATERGORIA INDETERMINADA ",SI LA VIERAN BAILAR,BARBERO 507,,0,
"CATERGORIA INDETERMINADA ",PRINCESA ,ALERTA CAMARADA,,0,
"CATERGORIA INDETERMINADA ",SALVAVIDAS ,TIMO FT BACILOS ,,0,
"CATERGORIA INDETERMINADA ",PENDEJADA (ft MABILAND),JULIANA,,0,
"CATERGORIA INDETERMINADA ",PARA VOLVERTE UN RECUERO ,SANTIAGO CRUZ ,,0,
"CATERGORIA INDETERMINADA ",PASAME LA BOTELLA,MATCH AND DADDY,,0,
"CATERGORIA INDETERMINADA ",NO DIGAS LO SIENTO ,DON TETO ,,0,
"CATERGORIA INDETERMINADA ",MUJER CALAVERA ,SAN ALEJO,,0,
"CATERGORIA INDETERMINADA ",NO ME AMES ,MARC ANTHONY FT JENIFER LOPEZ ,,0,
"CATERGORIA INDETERMINADA ",MI ERROR ,DON TETO ,,0,
"CATERGORIA INDETERMINADA ",MI PEQUEÑA TRAVIESA ,OV7,,0,
"CATERGORIA INDETERMINADA ",MI PLAN DE VIDA ,KANNY GARCIA ,,0,
"CATERGORIA INDETERMINADA ",MÁS QUE SUERTE (con Jesus Navarro),BEATRIZ LUENGO/REIK,,0,
"CATERGORIA INDETERMINADA ",MEJOR QUE TU NO HAY NADA ,SAN ALEJO,,0,
"CATERGORIA INDETERMINADA ",ME VOY (con Espinoza Paz),PAULINA RUBIO/ESPINOZA PAZ,,0,
"CATERGORIA INDETERMINADA ",MI DULCE NIÑA,KUMBIA KINGS,,0,
"CATERGORIA INDETERMINADA ",LO QUE FALTA DE MI ,JUAN PABLO VEGA FT LEONEL GARCIA ,,0,
"CATERGORIA INDETERMINADA ",LO QUE COSTRUIMOS ,NATALIA LAFOURCADE ,,0,
"CATERGORIA INDETERMINADA ",KUDAI ,TU ,,0,
"CATERGORIA INDETERMINADA ",EMANORANDOME DE TI ,JERAU ,,0,
"CATERGORIA INDETERMINADA ",EL CULEVANTE ,SAN ALEJO,,0,
"CATERGORIA INDETERMINADA ",EL CAUDAL ,MONSIEUR PERINE FT GUAYNAA,,0,
"CATERGORIA INDETERMINADA ",BORICUA ATHEM,C + C MUSIC FACTORIA,,0,
GRITO HERIDO,YO NECESITO SABER,ROCIO DURCAL,,0,
GRITO HERIDO,TONTO ,MIRIAN HERNANDEZ ,,0,
GRITO HERIDO,Son cosas del amor,Ana Gabriel,,0,
GRITO HERIDO,SERA PORQUE TE AMO,RICOS Y POBRES,,0,
GRITO HERIDO,SI NO TE HUBIERAS IDO,LOS BUKIS,,0,
GRITO HERIDO,POPURRI PANDORA,PANDORA,,0,
GRITO HERIDO,OLVIDAME Y PEGA LA VUELTA (PIMPINELA),PIMPINELA,,0,
GRITO HERIDO,PORQUE ME ABANDONASTE,PALOMA SANBASILIO,,0,
GRITO HERIDO,POR QUE TE VAS ,JHANETH,,0,
GRITO HERIDO,NAVIDAD SIN TI (V. BUKIS),LOS BUKIS/MARCO ANTONIO SOLIS,,0,
GRITO HERIDO,MI FORMA DE SENTIR,PEDRO FERNANDEZ (PEDRITO F.),,0,
GRITO HERIDO,LUNA DE MIEL,PALOMA SANBASILIO,,0,
GRITO HERIDO,MARY ES MI AMOR (FT. CEPEDA),LEO DAN,,0,
GRITO HERIDO,MAL AMOR ,MARGARITA ROSA DE FRANCISCO ,,0,
GRITO HERIDO,LA MALDITA PRIMAVERA,YURI,,0,
GRITO HERIDO,La Maldita Primavera,Yuri,,0,
GRITO HERIDO,HAY QUE VENIR AL SUR,RAFAELA CARRA,,0,
GRITO HERIDO,JUNTOS,PALOMA SANBASILIO,,0,
GRITO HERIDO,FIERA INQUIETA,Pasion de Gavilanes (Angela Maria Forero),,0,
GRITO HERIDO,Dejame Vivir,"Rocio Durcal, Juan Gabriel",,0,
GRITO HERIDO,Desesperada,Martha Sanchez,,0,
GRITO HERIDO,DETRÁS DE DE MI VENTANA,YURI,,0,
GRITO HERIDO,CALIENTE CALIENTE,RAFAELA CARRA,,0,
GRITO HERIDO,BIDI BIDI BOM BOM,SELENA,,0,
TROPIPOP,YA TU VES ,SAN ALEJO ,,0,
TROPIPOP,VIEJO,BACILOS/JORGE VILLAMIZAR,,0,
TROPIPOP,TU  ,JULIO NAVA ,,0,
TROPIPOP,Usted me encanta,Wamba,,0,
TROPIPOP,"Tu  ","Julio Nava ",,0,
TROPIPOP,Tú Primero,Fonseca,,0,
TROPIPOP,TENGO TU LOVE,SIETE,,0,
TROPIPOP,TODO DE TI,CUARTO APARTE,,0,
TROPIPOP,TE ROBARÉ (FT NACHO),GUSI/NACHO,,0,
TROPIPOP,TABACO Y CHANEL,BACILOS/JORGE VILLAMIZAR,,0,
TROPIPOP,PASA (FT MATISSE),FONSECA/MATISSE,,0,
TROPIPOP,PASOS DE GIGANTE,BACILOS/JORGE VILLAMIZAR,,0,
TROPIPOP,MI PRIMER MILLON,BACILOS/JORGE VILLAMIZAR,,0,
TROPIPOP,MEJORQUE TU NO HAY NADA,SAN ALEJO ,,0,
TROPIPOP,ME GUSTA ,SAN ALEJO ,,0,
TROPIPOP,INDELEBLE ,SAN ALEJO ,,0,
TROPIPOP,GUERRAS PERDIDAS,BACILOS/JORGE VILLAMIZAR,,0,
TROPIPOP,"Emanorandome De Ti ","Jerau ",,0,
TROPIPOP,EL DIABLO,SAN ALEJO,,0,
